postcode,name,search_postcode,latitude,longitude
07616,Bürgel,07616,50.94446181564417,11.765142930122698
68642,Bürstadt,68642,49.65260636892449,8.452834354828376
18246,Bützow,18246,53.857869627328505,11.94530568552705
14822,Brück,14822,52.21812025246146,12.823556774390852
19412,Brüel,19412,53.72366931571995,11.688451707397622
50321,Brühl,50321,50.82492930296914,6.895549455812701
17326,Brüssow,17326,53.3970743125,14.149901994852943
76646,Bruchsal,76646,49.10449653770192,8.591059487368081
25541,Brunsbüttel,25541,53.901268633012045,9.13082981316539
74722,Buchen (Odenwald),74722,49.5134669494958,9.326062432336133
21244,Buchholz in der Nordheide,21244,53.322197499337975,9.862871662230841
86807,Buchloe,86807,48.032685094843465,10.725573403367534
15377,Buckow (Märkische Schweiz),15377,52.55789759800885,14.064485669247787
39288,Burg,39288,52.27510096681205,11.851332705506339
17094,Burg Stargard,17094,53.492376329336736,13.302492458367347
89331,Burgau,89331,48.43300975827338,10.401669815107914
91593,Burgbernheim,91593,49.45982917130434,10.318335551304347
31303,Burgdorf,31303,52.4612453993568,10.008582525154953
84489,Burghausen,84489,48.16571073253629,12.825287779248505
96224,Burgkunstadt,96224,50.14194609928698,11.253130358110518
93133,Burglengenfeld,93133,49.20696406072019,12.03708415811034
09217,Burgstädt,09217,50.91660910206746,12.811135159666303
30938,Burgwedel,30938,52.51507692131851,9.889803374084366
72393,Burladingen,72393,48.31015739336922,9.11454799214209
51399,Burscheid,51399,51.09040667339587,7.122308218611632
35510,Butzbach,35510,50.4272630168252,8.657139113180975
21614,Buxtehude,21614,53.46833143854754,9.682445315944001
03205,Calau,03205,51.73522086060236,13.933144247415548
39240,Calbe (Saale),39240,51.903317435888496,11.83801220522648
75365,Calw,75365,48.71173016171191,8.740246266043615
"44575, 44577, 44579, 44581",Castrop-Rauxel,44575,51.549874010757826,7.31063274764523
29221–29229,Celle,29221,52.619072747034295,10.080786550880445
93413,Cham,93413,49.22174312990291,12.66536963631068
"09111–09131, 09224, 09228, 09247Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text",Chemnitz,09111,50.835176247597936,12.92390192195122
"38678, 38707, 38709, 38667",Clausthal-Zellerfeld,38678,51.806683964129775,10.337598586234082
99718,Clingen,99718,51.260429630033,10.94922129009901
49661,Cloppenburg,49661,52.844357776505014,8.041888796647823
96450,Coburg,96450,50.261315420499216,10.963898739126364
56812,Cochem,56812,50.1432099844718,7.162293659888801
48653,Coesfeld,48653,51.93331471254781,7.167014180301015
04680,Colditz,04680,51.132887777229186,12.80926086853353
"06868, 06869",Coswig (Anhalt),06868,51.97591015325325,12.354712016416418
01640,Coswig,01640,51.13288348549835,13.574089004959848
03042–03055,Cottbus,03042,51.755944366744366,14.362808099494949
"74564, 74597",Crailsheim,74564,49.131331960270266,10.065922076332047
"97993, 97990",Creglingen,97993,49.45919858510029,10.065842752722064
95473,Creußen,95473,49.84806996766954,11.613178025023878
08451,Crimmitschau,08451,50.81568867690248,12.377157734378585
19089,Crivitz,19089,53.57486334782849,11.683343104868603
"27472, 27474, 27476, 27478",Cuxhaven,27472,53.85994083225008,8.70558235694101
04720,Döbeln,04720,51.126165108885566,13.12797543179018
03159,Döbern,03159,51.625232370437956,14.607837884462983
57567,Daaden,57567,50.740042001086955,7.9700775
85221,Dachau,85221,48.25949648620312,11.44445104812483
04774,Dahlen,04774,51.37622342095875,12.985588097324415
15936,Dahme/Mark,15936,51.86906766463105,13.422313639694657
66994,Dahn,66994,49.151609660895524,7.781329434850746
49401,Damme,49401,52.51730460642616,8.191610353889514
29451,Dannenberg (Elbe),29451,53.09242618989531,11.095157124943105
17159,Dargun,17159,53.89831749290172,12.853730564196567
64283–64297,Darmstadt,64283,49.87015185033193,8.653070497404949
37586,Dassel,37586,51.79032775564143,9.72227748763524
23942,Dassow,23942,53.93866773279797,10.984333377557059
45711,Datteln,45711,51.64940327977726,7.330458539917937
54550,Daun,54550,50.205575937944666,6.820696195652173
"94469,94526 (Lehmberg)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text",Deggendorf,94469,48.83415352844694,12.969141843745158
67146,Deidesheim,67146,49.408289926900586,8.186186085380118
33129,Delbrück,33129,51.76532314671686,8.552078867810874
04509,Delitzsch,04509,51.514814081345506,12.352042006628299
